Brand,Year,Configuration,Strings,Made in,Type,Body Shape,Body Material,Neck Profile,Neck Joint,Fretboard Material,Neck Material,Expensive Wood,Bridge Type,Bridge,Scale Size,Shape,Frets,Fretboard Radius,Stainless Steel Frets,Nut,Nut Width,Switch,Knobs,Volume Controls,Tone Controls,Bridge Pickup,Neck Pickup,Middle Pickup,Top Pickup Brand,Locking Tuners,Tremolo,Stays in Tune (Evertune),Luminescent Inlay,Compound Radius Fretboard,Price,Number of Frets,Pickups Power
Schecter,2020.0,HH,6.0,South Korea,Solid Body,Super Strat,Ash,U,Neck-Through,Ebony,Maple,True,Floyd Rose,Floyd Rose 1500 Series,"25.5""",Ultra Thin U,XL Jumbo,"12"" to 16""",True,Locking,41.3mm (1.625''),3 Way,Dome,1.0,1.0,Lundgren M6 (Humbucker / Passive),Sustainiac (Humbucker / Passive),,True,False,True,False,True,True,1357.6,24,Passive-Passive
ESP E-II,2021.0,HH,6.0,Japan,Solid Body,Super Strat,Mahogany,U,Neck-Through,Ebony,Maple,True,Floyd Rose,Floyd Rose Original,"25.5""",Thin U,XL Jumbo,"12""",False,Locking,42mm (1.654''),3 Way,Dome,1.0,1.0,EMG 57TW (Humbucker / Active),EMG 66TW (Humbucker / Active),,True,True,True,False,False,False,2308.628,24,Active-Active
Schecter,2021.0,HH,6.0,Indonesia,Solid Body,Super Strat,Ash,C,Neck-Through,Ebony,Maple,True,Floyd Rose,Floyd Rose 1500 Series,"25.5""",Ultra Thin C,XL Jumbo,"12"" to 16""",True,Locking,41.3mm (1.625''),3 Way,Dome,1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Fishman Fluence Modern Alnico (Humbucker / Active),,True,False,True,False,True,True,1214.245,24,Active-Active
Schecter,2020.0,HH,7.0,South Korea,Solid Body,Super Strat,Ash,U,Neck-Through,Ebony,Maple,True,Floyd Rose,Floyd Rose 1500 Series,"26.5""",Ultra Thin U,XL Jumbo,"12"" to 16""",True,Locking,47.6mm (1.875''),3 Way,Dome,1.0,1.0,Lundgren M7 (Humbucker / Passive),Sustainiac (Humbucker / Passive),,True,False,True,False,True,True,1487.98,24,Passive-Passive
Schecter,2018.0,HH,6.0,South Korea,Solid Body,Super Strat,Ash,C,Neck-Through,Ebony,Maple,True,Floyd Rose,Floyd Rose 1500 Series,"25.5""",Ultra Thin C,XL Jumbo,"12"" to 16""",True,Locking,41.3mm (1.625''),3 Way,Dome,1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Sustainiac (Humbucker / Passive),,True,False,True,False,False,True,1265.148,24,Active-Passive
Schecter,2018.0,HH,6.0,South Korea,Solid Body,Super Strat,Ash,C,Neck-Through,Ebony,Maple,True,Floyd Rose,Floyd Rose 1500 Series,"25.5""",Ultra Thin C,XL Jumbo,"12"" to 16""",True,Locking,41.3mm (1.625''),3 Way,Dome,1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Sustainiac (Humbucker / Passive),,True,False,True,False,True,True,1167.3539999999998,24,Active-Passive
Charvel,2021.0,HSH,6.0,Japan,Solid Body,Super Strat,Basswood,C,Bolt-On,Maple,Maple,False,Tremolo,Recessed Charvel Locking Tremolo Bridge,"25.5""",Charvel Speed,Jumbo,"12"" to 16""",True,Ivory Tusq,42.9mm (1.688''),5 Way,Dome,1.0,1.0,Charvel Custom Humbucking (Humbucker / Passive),Charvel Custom Humbucking (Humbucker / Passive),Charvel Custom Single-Coil (Single Coil / Passive),True,True,True,False,True,True,2503.44,24,Passive-Passive-Passive
ESP E-II,2021.0,HH,6.0,Japan,Solid Body,Super Strat,Mahogany,U,Neck-Through,Ebony,Maple,True,Floyd Rose,Floyd Rose Original,"25.5""",Thin U,XL Jumbo,"12""",False,Locking,42mm (1.654''),3 Way,Dome,1.0,1.0,Seymour Duncan Custom-5 (Humbucker / Passive),Seymour Duncan Jazz SH-2 (Humbucker / Passive),,True,True,True,False,False,False,1863.445,24,Passive-Passive
Schecter,2019.0,HH,6.0,South Korea,Solid Body,Super Strat,Ash,C,Neck-Through,Ebony,Maple,True,Fixed,Hipshot Ibby HM Guitar Bridge,"25.5""",Ultra Thin C,XL Jumbo,"12"" to 16""",True,Compensated,42mm (1.654''),3 Way,Dome,1.0,0.0,Fishman Fluence Keith Merrow Custom Humbucker (Humbucker / Active),Fishman Fluence Keith Merrow Custom Humbucker (Humbucker / Active),,True,True,False,False,True,True,1733.976,24,Active-Active
ESP E-II,2014.0,HH,6.0,Japan,Solid Body,V,Alder,U,Neck-Through,Ebony,Maple,True,Floyd Rose,Floyd Rose Original,"25.5""",Thin U,XL Jumbo,"12""",False,Locking,42mm (1.654''),3 Way,Dome,1.0,0.0,EMG 81 (Humbucker / Active),EMG 85 (Humbucker / Active),,True,True,True,False,False,False,2025.65,24,Active-Active
Schecter,2020.0,HH,6.0,South Korea,Solid Body,Super Strat,Ash,U,Neck-Through,Ebony,Maple,True,Fixed,Hipshot Ibby HM Guitar Bridge,"25.5""",Ultra Thin U,XL Jumbo,"12"" to 16""",True,Compensated,42mm (1.654''),3 Way,Dome,1.0,1.0,Lundgren M6 (Humbucker / Passive),Lundgren M6 (Humbucker / Passive),,True,True,False,False,True,True,1343.462,24,Passive-Passive
Schecter,2020.0,HH,6.0,South Korea,Solid Body,Super Strat,Ash,U,Neck-Through,Ebony,Maple,True,Evertune,Evertune F Model,"25.5""",Ultra Thin U,XL Jumbo,"12"" to 16""",True,Compensated,42mm (1.654''),3 Way,Dome,1.0,1.0,Lundgren M6 (Humbucker / Passive),Lundgren M6 (Humbucker / Passive),,True,True,False,True,True,True,1505.16,24,Passive-Passive
Schecter,2018.0,HH,6.0,South Korea,Solid Body,Super Strat,Ash,C,Neck-Through,Ebony,Maple,True,Floyd Rose,Floyd Rose 1500 Series,"25.5""",Ultra Thin C,XL Jumbo,"12"" to 16""",True,Locking,41.3mm (1.625''),3 Way,Dome,1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Fishman Fluence Modern Alnico (Humbucker / Active),,True,False,True,False,False,True,1235.156,24,Active-Active
Schecter,2016.0,HH,6.0,South Korea,Solid Body,Explorer,Mahogany,C,Set,Ebony,Mahogany,True,Floyd Rose,Floyd Rose 1500 Series,"25.5""",Thin C,XL Jumbo,"12"" to 16""",True,Locking,41.3mm (1.625''),3 Way,Speed,1.0,1.0,Schecter USA Apocalypse-VI (Humbucker / Passive),Sustainiac (Humbucker / Passive),,True,False,True,False,True,True,1260.594,24,Passive-Passive
ESP E-II,2021.0,HH,6.0,Japan,Solid Body,Super Strat,Mahogany,U,Neck-Through,Ebony,Maple,True,Fixed,Gotoh TOM & Tailpiece,"25.5""",Thin U,XL Jumbo,"12""",False,Bone,42mm (1.654''),3 Way,Dome,1.0,1.0,EMG 57TW (Humbucker / Active),EMG 66TW (Humbucker / Active),,True,True,False,False,False,False,1961.896,24,Active-Active
Schecter,2019.0,HH,7.0,South Korea,Solid Body,Super Strat,Ash,C,Neck-Through,Ebony,Maple,True,Fixed,Hipshot Ibby HM Guitar Bridge,"26.5""",Ultra Thin C,XL Jumbo,"12"" to 16""",True,Compensated,48mm (1.89''),3 Way,Dome,1.0,0.0,Fishman Fluence Keith Merrow Custom Humbucker (Humbucker / Active),Fishman Fluence Keith Merrow Custom Humbucker (Humbucker / Active),,True,True,False,False,True,True,1411.928,24,Active-Active
Schecter,2020.0,HH,7.0,United States,Solid Body,Super Strat,Ash,C,Bolt-On,Ebony,Maple,True,Fixed,Hipshot Low Profile contoured 7 string fixed bridge,"26.5""",Thin fast C,XL Jumbo,"12"" to 16""",True,Compensated,48mm (1.89''),3 Way,Dome,1.0,0.0,Keith Merrow Custom Fishman Fluence (Humbucker / Active),Keith Merrow Custom Fishman Fluence (Humbucker / Active),,True,True,False,False,True,True,2579.81,24,Active-Active
Ibanez,2021.0,HSS,6.0,Japan,Solid Body,Telecaster,Ash,C,Bolt-On,Maple,Maple,True,Tremolo,Gotoh T1702B,"25.5""",AZ Oval C,Jumbo,"9"" to 12""",True,Bone,42mm (1.654''),5 Way,Dome,1.0,1.0,Seymour Duncan Lari Basilio (Humbucker / Passive),Seymour Duncan Lari Basilio (Humbucker / Passive),Seymour Duncan Lari Basilio (Humbucker / Passive),True,True,True,False,True,True,2359.736,22,Passive-Passive-Passive
ESP E-II,2014.0,HH,6.0,Japan,Solid Body,Super Strat,Alder,U,Neck-Through,Ebony,Maple,True,Floyd Rose,Floyd Rose Original,"25.5""",Thin U,XL Jumbo,"12""",False,Locking,42mm (1.654''),3 Way,Dome,1.0,0.0,EMG 81 (Humbucker / Active),EMG 81 (Humbucker / Active),,True,True,True,False,False,False,1934.252,24,Active-Active
Ibanez,2018.0,HH,6.0,Japan,Solid Body,Super Strat,Mahogany,C,Bolt-On,Maple,Maple,True,Tremolo,Gotoh T1802 Tremolo,"25.5""",AZ Oval C,Jumbo,"12""",True,Bone,42mm (1.654''),5 Way,Dome,1.0,1.0,Seymour Duncan Hyperion (Humbucker / Passive),Seymour Duncan Hyperion (Humbucker / Passive),,True,True,True,False,True,False,2334.6825,24,Passive-Passive
Ibanez,2020.0,HSH,6.0,Japan,Solid Body,Super Strat,Basswood,Super Wizard,Bolt-On,Ebony,Maple,True,Lo-Pro Edge,Lo-Pro Edge tremolo,"25.5""",Super Wizard,Jumbo,"17""",True,Locking,43mm (1.693''),5 Way,Bell,1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Fishman Fluence Modern Alnico (Humbucker / Active),Fishman Fluence Single-Width (Single Coil / Active),True,False,True,False,True,False,1962.516,24,Active-Active-Active
Ibanez,2020.0,HH,6.0,Japan,Solid Body,Super Strat,Mahogany,Super Wizard,Bolt-On,Ebony,Maple,True,Fixed,Gibraltar Standard II,"25.5""",Super Wizard,Jumbo,"17""",True,Black Tusq XL,43mm (1.693''),3 Way,Dome,1.0,1.0,Bare Knuckle Brute Force (Humbucker / Passive),Bare Knuckle Brute Force (Humbucker / Passive),,True,True,False,False,True,False,1785.535,24,Passive-Passive
Charvel,2020.0,HSS,6.0,United States,Solid Body,Super Strat,Alder,C,Bolt-On,Maple,Maple,True,Tremolo,Gotoh Custom 510 Tremolo Bridge with Brass Block and Titanium Saddles,"25.5""",Charvel Speed,Jumbo,"12"" to 16""",True,Ivory Tusq,42.9mm (1.688''),5 Way,Bell,1.0,1.0,Seymour Duncan Full Shred SH-10B (Humbucker / Passive),Seymour Duncan Custom Flat Strat SSL-6 RWRP (Single Coil / Passive),Seymour Duncan Custom Flat Strat SSL-6 (Single Coil / Passive),True,True,True,False,True,True,2703.02,24,Passive-Passive-Passive
Jackson,2018.0,HH,6.0,United States,Solid Body,Super Strat,Basswood,D,Bolt-On,Maple,Maple,True,Fixed,Hipshot 6 Fixed .175,"25.5""",Speed,Jumbo,"20""",True,Black Tusq XL,42.9mm (1.688''),5 Way,Dome,1.0,1.0,Bare Knuckle Ragnarok (Humbucker / Passive),Bare Knuckle Ragnarok (Humbucker / Passive),,True,True,False,False,False,False,2777.64,24,Passive-Passive
Schecter,2020.0,HH,6.0,South Korea,Solid Body,Super Strat,Ash,C,Set,Ebony,Maple,True,Floyd Rose,Floyd Rose 1500 Series,"25.5""",Thin C,XL Jumbo,"12"" to 16""",True,Locking,41.3mm (1.625''),3 Way,Dome,1.0,1.0,Schecter USA Apocalypse-VI (Humbucker / Passive),Sustainiac (Humbucker / Passive),,True,False,True,False,True,True,1272.422,24,Passive-Passive
Ibanez,2021.0,HSS,6.0,Japan,Solid Body,Super Strat,Alder,C,Bolt-On,Rosewood,Maple,True,Tremolo,Gotoh T1702B,"25.5""",AZ Oval C,Jumbo,"9"" to 12""",True,Bone,42mm (1.654''),5 Way,Bell,1.0,1.0,Seymour Duncan Fortuna (Humbucker / Passive),Seymour Duncan Fortuna (Humbucker / Passive),Seymour Duncan Fortuna (Humbucker / Passive),True,True,True,False,True,True,1775.64,22,Passive-Passive-Passive
Ibanez,2022.0,HSS,6.0,Japan,Solid Body,Super Strat,Alder,C,Bolt-On,Rosewood,Maple,True,Tremolo,Gotoh T1702B,"25.5""",AZ Oval C,Jumbo,"9"" to 12""",True,Bone,42mm (1.654''),5 Way,Bell,1.0,1.0,Seymour Duncan Fortuna (Humbucker / Passive),Seymour Duncan Fortuna Single Coil (Single Coil / Passive),Seymour Duncan Fortuna Single Coil (Single Coil / Passive),True,True,True,False,True,True,2002.5925,22,Passive-Passive-Passive
Schecter,2020.0,HH,7.0,South Korea,Solid Body,Super Strat,Ash,U,Neck-Through,Ebony,Maple,True,Fixed,Hipshot Ibby HM Guitar Bridge,"26.5""",Ultra Thin U,XL Jumbo,"12"" to 16""",True,Compensated,48mm (1.89''),3 Way,Dome,1.0,1.0,Lundgren M7 (Humbucker / Passive),Lundgren M7 (Humbucker / Passive),,True,True,False,False,True,True,1342.5375,24,Passive-Passive
Schecter,2020.0,HH,7.0,South Korea,Solid Body,Super Strat,Ash,U,Neck-Through,Ebony,Maple,True,Evertune,Evertune F7 Model,"26.5""",Ultra Thin U,XL Jumbo,"12"" to 16""",True,Compensated,48mm (1.89''),3 Way,Dome,1.0,1.0,Lundgren M7 (Humbucker / Passive),Lundgren M7 (Humbucker / Passive),,True,True,False,True,True,True,1632.634,24,Passive-Passive
Schecter,2017.0,HH,6.0,South Korea,Solid Body,Super Strat,Ash,C,Set,Ebony,Maple,True,Floyd Rose,Floyd Rose 1500 Series,"25.5""",Thin C,XL Jumbo,"12"" to 16""",True,Locking,41.3mm (1.625''),3 Way,Dome,1.0,2.0,Schecter USA Apocalypse-VI (Humbucker / Passive),Sustainiac (Humbucker / Passive),,True,False,True,False,True,True,1455.0525,24,Passive-Passive
Schecter,2021.0,HH,6.0,South Korea,Solid Body,Super Strat,Mahogany,C,Set,Ebony,Mahogany,True,Floyd Rose,Floyd Rose 1500 Series,"25.5""",Thin C,XL Jumbo,"12"" to 16""",True,Locking,42mm (1.654''),3 Way,Dome,1.0,1.0,Lundgren M6 (Humbucker / Passive),Sustainiac (Humbucker / Passive),,True,False,True,False,False,True,994.7633333333332,24,Passive-Passive
Schecter,2020.0,HH,6.0,South Korea,Solid Body,Super Strat,Mahogany,C,Set,Ebony,Mahogany,True,Floyd Rose,Floyd Rose 1500 Series,"25.5""",Thin C,XL Jumbo,"14""",True,Locking,41.3mm (1.625''),3 Way,Dome,1.0,2.0,Schecter USA Sonic Seducer (Humbucker / Passive),Sustainiac (Humbucker / Passive),,True,False,True,False,True,False,1225.194,24,Passive-Passive
Schecter,2022.0,HH,6.0,South Korea,Solid Body,Super Strat,Ash,C,Neck-Through,Ebony,Maple,True,Fixed,Hipshot Hardtail (.125) w/ String Thru Body,"25.5""",Ultra Thin C,XL Jumbo,"12"" to 16""",True,Compensated,42mm (1.654''),3 Way,Dome,1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Sustainiac (Humbucker / Passive),,True,True,False,False,True,True,1221.725,24,Active-Passive
Schecter,2018.0,HH,6.0,South Korea,Solid Body,Super Strat,Ash,C,Neck-Through,Ebony,Maple,True,Fixed,Hipshot Hardtail (.125) w/ String Thru Body,"25.5""",Ultra Thin C,XL Jumbo,"12"" to 16""",True,Compensated,42mm (1.654''),3 Way,Dome,1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Fishman Fluence Modern Alnico (Humbucker / Active),,True,True,False,False,False,True,1196.592,24,Active-Active
Schecter,2018.0,HH,6.0,South Korea,Solid Body,Super Strat,Ash,C,Neck-Through,Ebony,Maple,True,Fixed,Hipshot Hardtail (.125) w/ String Thru Body,"25.5""",Ultra Thin C,XL Jumbo,"12"" to 16""",True,Compensated,42mm (1.654''),3 Way,Dome,1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Fishman Fluence Modern Alnico (Humbucker / Active),,True,True,False,False,True,True,1128.79,24,Active-Active
Schecter,2019.0,HH,7.0,South Korea,Solid Body,Super Strat,Ash,C,Set,Ebony,Maple,True,Floyd Rose,Floyd Rose 1500 Series,"26.5""",Thin C,XL Jumbo,"12"" to 16""",True,Locking,41.3mm (1.625''),3 Way,Dome,1.0,2.0,Schecter USA Apocalypse-VII (Humbucker / Passive),Sustainiac (Humbucker / Passive),,True,False,True,False,True,True,1480.6483333333333,24,Passive-Passive
