Link,Model,Specs,Matched,Brand,Year,Configuration,Strings,Made in,Series,Colors,Left-Handed Version,Top,Type,Body Material,Bridge,Neck Joint,Tuners,Fretboard,Neck Material,Decoration,Scale Size,Shape,Thickness,Frets,Fretboard Radius,Nut,Nut Width,Switch,Knobs,Pickup Mods,Volume Controls,Tone Controls,Bridge Pickup,Neck Pickup,Middle Pickup,Price,Tremolo,Locking Tuners,Retainer Bar,Stainless Steel Frets,Made in United States,Expensive Wood,Locking Nut,Top Pickup Brand,Neck-Through Build,Push Knob or Extra Switch Option,Weight Relief,Stays in Tune (Evertune),21:1 Tuner Ratio,Compound Radius Fretboard,Strap Lock,Luminescent Inlay,Body Material 2,Neck Material 2,Fretboard Material 2,Sustainer Pickups,High-Quality-Standards Country,Coil Split Pickups,Made in Japan,"Coil Split, Killswitch Pickups","Coil Split, Multi-Voicing Pickups","Multi-Voicing, Sustainer Pickups",Coil Tap Pickups,Ivory Tusq Nut,Bone Nut,Multi-Voicing Pickups,High-Quality Nut,Black Tusq XL Nut,Series Split Pickups,Parallel Split Pickups,S-1 Switch Pickups,Killswitch Pickups,"Coil Split, Capacitance Selector Pickups","Coil Tap, Phase Out Pickups",Boneite Nut,NuBone Nut,Synthetic Bone Nut,"Killswitch, Sustainer Pickups",Boost Pickups,"Multi-Voicing, Gain Reduction Pickups","Coil Split, Boost Pickups",Phase Out Pickups,"Killswitch, Phase Out Pickups",High-Pass Filter Pickups,Half-Bone/Half-Brass Nut,"Coil Tap, Boost Pickups","Coil Split, Phase Out Pickups",Varitone Pickups,Tri-Sound Pickups,Neck Shape
https://findmyguitar.com/reviews/Schecter-Banshee-Mach-6-FR-S-review.php,Schecter Banshee Mach-6 FR S,"From Schecter's 2020 Banshee Mach series
Made in South Korea
6 strings
25.5""'' scale
12"" to 16"" Fretboard Radius
Flamed Maple top
Swamp Ash body
Roasted Maple/Purpleheart Multi-ply with Carbon Fiber Reinforcement Rods neck
Ebony fretboard
Bridge pickup: Lundgren M6 (Humbucker/Passive)
Neck pickup: Sustainiac (Humbucker/Passive)
Floyd Rose 1500 Series bridge
1 volume and 1 tone Dome knobs
3-way Switch
Ultra Thin U Neck-Through neck
24 XL Jumbo Stainless Steel frets
Grover Rotomatic 18:1 tuners
Retainer bar
",False,Schecter,2020.0,HH,6.0,South Korea,Banshee Mach,"Black Burst, Natural Burst",Yes,Flamed Maple,Solid Body,Swamp Ash,Floyd Rose 1500 Series,Neck-Through,Grover Rotomatic 18:1,Ebony,Roasted Maple/Purpleheart Multi-ply with Carbon Fiber Reinforcement Rods,Offset/Reverse Roman Numerals,"25.5""",Ultra Thin U,1st Fret: 0.748'' (19mm) - 12th Fret: 0.787'' (20mm),24 XL Jumbo Yes,"12"" to 16""",Locking,41.3mm (1.625''),3 Way,Dome,Sustainer,1.0,1.0,Lundgren M6 (Humbucker / Passive),Sustainiac (Humbucker / Passive),,1357.6,True,False,True,True,,True,True,True,True,,False,False,False,True,False,True,Ash,Roasted Maple,Ebony,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It has a U type neck.
https://findmyguitar.com/reviews/ESP-E-II-Horizon-FR-II-review.php,ESP E-II Horizon FR-II,"From ESP E-II's 2021 Horizon series
Made in Japan
6 strings
25.5""'' scale
12"" Fretboard Radius
Quilted Maple top
Mahogany body
3pc Maple neck
Ebony fretboard
Bridge pickup: EMG 57TW (Humbucker/Active)
Neck pickup: EMG 66TW (Humbucker/Active)
Floyd Rose Original bridge
1 volume and 1 tone Dome knobs
3-way Switch
Thin U Neck-Through neck
24 XL Jumbo frets
Gotoh Locking tuners
Retainer bar
",True,ESP E-II,2021.0,HH,6.0,Japan,Horizon,"Tiger Eye Sunburst, See Thru Black Cherry Sunburst",Yes,Quilted Maple,Solid Body,Mahogany,Floyd Rose Original,Neck-Through,Gotoh Locking,Ebony,3pc Maple,Offset Blocks,"25.5""",Thin U,1st Fret: 0.787'' (20mm) - 12th Fret: 0.866'' (22mm),24 XL Jumbo,"12""",Locking,42mm (1.654''),3 Way,Dome,Coil Split,1.0,1.0,EMG 57TW (Humbucker / Active),EMG 66TW (Humbucker / Active),,2308.628,True,True,True,False,,True,True,True,True,,False,False,False,False,True,False,Mahogany,Maple,Ebony,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It has a U type neck.
https://findmyguitar.com/reviews/Jackson-USA-Signature-Chris-Broderick-Soloist-6-review.php,Jackson USA Signature Chris Broderick Soloist 6,"From Jackson's 2016 Artist Signature series
Chris Broderick Signature
Made in United States
6 strings
25.5""'' scale
12"" Fretboard Radius
1/8 Plain Maple top
Mahogany body
Quartersawn Maple neck
Ebony fretboard
Bridge pickup: Direct Mount Chris Broderick Designed Custom DiMarzio (Humbucker/Passive)
Neck pickup: Direct Mount Chris Broderick Designed Custom DiMarzio (Humbucker/Passive)
Floyd Rose Pro (Recessed) bridge
1 volume and 1 tone Dome knobs
3-way Switch
Jackson Standard Neck-Through neck
24 Jumbo frets
Planet Waves Auto-Trim tuners
",False,Jackson,2016.0,HH,6.0,United States,Artist Signature,"White, Black, Red",No,1/8 Plain Maple,Solid Body,Mahogany,Floyd Rose Pro (Recessed),Neck-Through,Planet Waves Auto-Trim,Ebony,Quartersawn Maple,,"25.5""",Jackson Standard,1st Fret: 0.79'' (20.1mm) - 12th Fret: 0.85'' (21.6mm),24 Jumbo,"12""",Locking,42.9mm (1.688''),3 Way,Dome,"Coil Split, Killswitch",1.0,1.0,Direct Mount Chris Broderick Designed Custom DiMarzio (Humbucker / Passive),Direct Mount Chris Broderick Designed Custom DiMarzio (Humbucker / Passive),,3346.45,True,True,False,False,True,True,True,False,True,,False,False,False,False,True,False,Mahogany,Maple,Ebony,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It has a D type neck.
https://findmyguitar.com/reviews/Schecter-Avenger-FR-SLS-Elite-Evil-Twin-review.php,Schecter Avenger FR SLS Elite Evil Twin,"From Schecter's 2021 SLS Elite series
Made in Indonesia
6 strings
25.5""'' scale
12"" to 16"" Fretboard Radius
Swamp Ash body
Maple/Walnut/Padauk Multi-ply w/ Carbon Fiber Reinforcement Rods neck
Ebony fretboard
Bridge pickup: Fishman Fluence Modern Ceramic (Humbucker/Active)
Neck pickup: Fishman Fluence Modern Alnico (Humbucker/Active)
Floyd Rose 1500 Series bridge
1 volume and 1 tone Dome knobs
3-way Switch
Ultra Thin C Neck-Through neck
24 XL Jumbo Stainless Steel frets
Grover tuners
Retainer bar
",False,Schecter,2021.0,HH,6.0,Indonesia,SLS Elite,Black Satin,No,,Solid Body,Swamp Ash,Floyd Rose 1500 Series,Neck-Through,Grover,Ebony,Maple/Walnut/Padauk Multi-ply w/ Carbon Fiber Reinforcement Rods,Roman Numerals,"25.5""",Ultra Thin C,1st Fret: 0.748'' (19mm) - 12th Fret: 0.787'' (20mm),24 XL Jumbo Yes,"12"" to 16""",Locking,41.3mm (1.625''),3 Way,Dome,"Coil Split, Multi-Voicing",1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Fishman Fluence Modern Alnico (Humbucker / Active),,1214.245,True,False,True,True,,True,True,True,True,,False,False,False,True,False,True,Ash,Maple,Ebony,,False,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It has a C type neck.
https://findmyguitar.com/reviews/Schecter-Banshee-Mach-7-FR-S-review.php,Schecter Banshee Mach-7 FR S,"From Schecter's 2020 Banshee Mach series
Made in South Korea
7 strings
26.5""'' scale
12"" to 16"" Fretboard Radius
Flamed Maple top
Swamp Ash body
Roasted Maple/Purpleheart Multi-ply with Carbon Fiber Reinforcement Rods neck
Ebony fretboard
Bridge pickup: Lundgren M7 (Humbucker/Passive)
Neck pickup: Sustainiac (Humbucker/Passive)
Floyd Rose 1500 Series bridge
1 volume and 1 tone Dome knobs
3-way Switch
Ultra Thin U Neck-Through neck
24 XL Jumbo Stainless Steel frets
Grover Rotomatic 18:1 tuners
Retainer bar
",True,Schecter,2020.0,HH,7.0,South Korea,Banshee Mach,"Black Burst, Natural Burst",Yes,Flamed Maple,Solid Body,Swamp Ash,Floyd Rose 1500 Series,Neck-Through,Grover Rotomatic 18:1,Ebony,Roasted Maple/Purpleheart Multi-ply with Carbon Fiber Reinforcement Rods,Offset/Reverse Roman Numerals,"26.5""",Ultra Thin U,1st Fret: 0.748'' (19mm) - 12th Fret: 0.787'' (20mm),24 XL Jumbo Yes,"12"" to 16""",Locking,47.6mm (1.875''),3 Way,Dome,Sustainer,1.0,1.0,Lundgren M7 (Humbucker / Passive),Sustainiac (Humbucker / Passive),,1487.98,True,False,True,True,,True,True,True,True,,False,False,False,True,False,True,Ash,Roasted Maple,Ebony,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It has a U type neck.
https://findmyguitar.com/reviews/Schecter-C-1-FR-S-SLS-Elite-review.php,Schecter C-1 FR S SLS Elite,"From Schecter's 2018 SLS Elite series
Made in South Korea
6 strings
25.5""'' scale
12"" to 16"" Fretboard Radius
Flamed Maple top
Swamp Ash body
Maple/Walnut/Padauk Multi-ply w/ Carbon Fiber Reinforcement Rods neck
Ebony fretboard
Bridge pickup: Fishman Fluence Modern Ceramic (Humbucker/Active)
Neck pickup: Sustainiac (Humbucker/Passive)
Floyd Rose 1500 Series bridge
1 volume and 1 tone Dome knobs
3-way Switch
Ultra Thin C Neck-Through neck
24 XL Jumbo Stainless Steel frets
Grover Rotomatic 18:1 tuners
Retainer bar
",True,Schecter,2018.0,HH,6.0,South Korea,SLS Elite,"Black, Orange",Yes,Flamed Maple,Solid Body,Swamp Ash,Floyd Rose 1500 Series,Neck-Through,Grover Rotomatic 18:1,Ebony,Maple/Walnut/Padauk Multi-ply w/ Carbon Fiber Reinforcement Rods,Abalone Offset/Reverse Dots,"25.5""",Ultra Thin C,1st Fret: 0.748'' (19mm) - 12th Fret: 0.787'' (20mm),24 XL Jumbo Yes,"12"" to 16""",Locking,41.3mm (1.625''),3 Way,Dome,"Multi-Voicing, Sustainer",1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Sustainiac (Humbucker / Passive),,1265.148,True,False,True,True,,True,True,True,True,,False,False,False,True,False,False,Ash,Maple,Ebony,,False,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,It has a C type neck.
https://findmyguitar.com/reviews/Schecter-C-1-FR-S-SLS-Evil-Twin-review.php,Schecter C-1 FR S SLS Evil Twin,"From Schecter's 2018 SLS Elite series
Made in South Korea
6 strings
25.5""'' scale
12"" to 16"" Fretboard Radius
Swamp Ash body
Maple/Walnut/Padauk Multi-ply w/ Carbon Fiber Reinforcement Rods neck
Ebony fretboard
Bridge pickup: Fishman Fluence Modern Ceramic (Humbucker/Active)
Neck pickup: Sustainiac (Humbucker/Passive)
Floyd Rose 1500 Series bridge
1 volume and 1 tone Dome knobs
3-way Switch
Ultra Thin C Neck-Through neck
24 XL Jumbo Stainless Steel frets
Grover Rotomatic 18:1 tuners
Retainer bar
",True,Schecter,2018.0,HH,6.0,South Korea,SLS Elite,Black,No,,Solid Body,Swamp Ash,Floyd Rose 1500 Series,Neck-Through,Grover Rotomatic 18:1,Ebony,Maple/Walnut/Padauk Multi-ply w/ Carbon Fiber Reinforcement Rods,Roman Numerals,"25.5""",Ultra Thin C,1st Fret: 0.748'' (19mm) - 12th Fret: 0.787'' (20mm),24 XL Jumbo Yes,"12"" to 16""",Locking,41.3mm (1.625''),3 Way,Dome,"Multi-Voicing, Sustainer",1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Sustainiac (Humbucker / Passive),,1167.3539999999998,True,False,True,True,,True,True,True,True,,False,False,False,True,False,True,Ash,Maple,Ebony,,False,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,It has a C type neck.
https://findmyguitar.com/reviews/Charvel-Guthrie-Govan-Signature-MJ-San-Dimas-SD24-CM-review.php,Charvel Guthrie Govan Signature MJ San Dimas SD24 CM,"From Charvel's 2021 Artist Signature series
Guthrie Govan Signature
Made in Japan
6 strings
25.5""'' scale
12"" to 16"" Fretboard Radius
Ash top
Basswood body
Caramelized Maple neck
Caramelized Maple fretboard
Bridge pickup: Charvel Custom Humbucking (Humbucker/Passive)
Middle pickup: Charvel Custom Single-Coil (Single Coil/Passive)
Neck pickup: Charvel Custom Humbucking (Humbucker/Passive)
Recessed Charvel Locking Tremolo Bridge bridge
1 volume and 1 tone Dome knobs
5-way Switch
Charvel Speed Bolt-On neck
24 Jumbo Stainless Steel frets
Gotoh Locking tuners
",True,Charvel,2021.0,HSH,6.0,Japan,Artist Signature,Sunburst,No,Ash,Solid Body,Basswood,Recessed Charvel Locking Tremolo Bridge,Bolt-On,Gotoh Locking,Caramelized Maple,Caramelized Maple,Crème Dots,"25.5""",Charvel Speed,1st Fret: 0.77'' (19.6mm) - 12th Fret: 0.83'' (21.1mm),24 Jumbo Yes,"12"" to 16""",Ivory Tusq,42.9mm (1.688''),5 Way,Dome,Coil Tap,1.0,1.0,Charvel Custom Humbucking (Humbucker / Passive),Charvel Custom Humbucking (Humbucker / Passive),Charvel Custom Single-Coil (Single Coil / Passive),2503.44,True,True,,True,,False,,True,False,,False,False,False,True,False,True,Basswood,Maple,Maple,,,,True,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,It has a C type neck.
https://findmyguitar.com/reviews/Charvel-Guthrie-Govan-USA-Signature-HSH-Caramelized-Ash-review.php,Charvel Guthrie Govan USA Signature HSH Caramelized Ash,"From Charvel's 2017 Artist Signature series
Guthrie Govan Signature
Made in United States
6 strings
25.5""'' scale
12"" to 16"" Fretboard Radius
Caramelized Ash body
Caramelized Flame Maple neck
Caramelized Flame Maple fretboard
Bridge pickup: Charvel Custom MF Humbucking (Humbucker/Passive)
Middle pickup: Charvel Custom MF Single-Coil (Single Coil/Passive)
Neck pickup: Charvel Custom MF Humbucking (Humbucker/Passive)
Recessed Charvel Locking Tremolo Bridge bridge
1 volume and 1 tone Dome knobs
5-way Switch
Charvel Speed Bolt-On neck
24 Jumbo Stainless Steel frets
Sperzel Locking tuners
",True,Charvel,2017.0,HSH,6.0,United States,Artist Signature,Natural,No,,Solid Body,Caramelized Ash,Recessed Charvel Locking Tremolo Bridge,Bolt-On,Sperzel Locking,Caramelized Flame Maple,Caramelized Flame Maple,Ebony Ring with Maple Dot Center,"25.5""",Charvel Speed,1st Fret: 0.77'' (19.6mm) - 12th Fret: 0.83'' (21.1mm),24 Jumbo Yes,"12"" to 16""",Bone,42.9mm (1.688''),5 Way,Dome,Coil Tap,1.0,1.0,Charvel Custom MF Humbucking (Humbucker / Passive),Charvel Custom MF Humbucking (Humbucker / Passive),Charvel Custom MF Single-Coil (Single Coil / Passive),3375.653333333333,True,True,,True,True,True,,True,False,,False,False,False,True,False,True,Ash,Flame Maple,Flame Maple,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,It has a C type neck.
https://findmyguitar.com/reviews/Charvel-Guthrie-Govan-USA-Signature-HSH-Flame-Maple-review.php,Charvel Guthrie Govan USA Signature HSH Flame Maple,"From Charvel's 2015 Artist Signature series
Guthrie Govan Signature
Made in United States
6 strings
25.5""'' scale
12"" to 16"" Fretboard Radius
Flame Maple top
Caramelized Basswood body
Caramelized Flame Maple neck
Caramelized Flame Maple fretboard
Bridge pickup: Charvel Custom MF Humbucking (Humbucker/Passive)
Middle pickup: Charvel Custom MF Single-Coil (Single Coil/Passive)
Neck pickup: Charvel Custom MF Humbucking (Humbucker/Passive)
Recessed Charvel Locking Tremolo Bridge bridge
1 volume and 1 tone Dome knobs
5-way Switch
Charvel Speed Bolt-On neck
24 Jumbo Stainless Steel frets
Sperzel Locking tuners
",False,Charvel,2015.0,HSH,6.0,United States,Artist Signature,Natural,No,Flame Maple,Solid Body,Caramelized Basswood,Recessed Charvel Locking Tremolo Bridge,Bolt-On,Sperzel Locking,Caramelized Flame Maple,Caramelized Flame Maple,Ebony Ring with Maple Dot Center,"25.5""",Charvel Speed,1st Fret: 0.77'' (19.6mm) - 12th Fret: 0.83'' (21.1mm),24 Jumbo Yes,"12"" to 16""",Bone,42.9mm (1.688''),5 Way,Dome,Coil Tap,1.0,1.0,Charvel Custom MF Humbucking (Humbucker / Passive),Charvel Custom MF Humbucking (Humbucker / Passive),Charvel Custom MF Single-Coil (Single Coil / Passive),3031.6200000000003,True,True,,True,True,True,,True,False,,False,False,False,True,False,True,Basswood,Flame Maple,Flame Maple,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,It has a C type neck.
